FrontText,BackText,Comment,FrontTextLanguage,BackTextLanguage
キューバ,ハバナ,,jp-JP,jp-JP
ハイチ,ポルトープランス,,jp-JP,jp-JP
南スーダン,ジュバ,,jp-JP,jp-JP
ドミニカ共和国,サントドミンゴ,,jp-JP,jp-JP
ギリシャ,アテネ,,jp-JP,jp-JP
チェコ,プラハ,,jp-JP,jp-JP
スウェーデン,ストックホルム,,jp-JP,jp-JP
ポルトガル,リスボン,,jp-JP,jp-JP
ヨルダン,アンマン,,jp-JP,jp-JP
アゼルバイジャン,バクー,,jp-JP,jp-JP
アラブ首長国連邦,アブダビ,,jp-JP,jp-JP
ハンガリー,ブダペスト,,jp-JP,jp-JP
ホンジュラス,テグシガルパ,,jp-JP,jp-JP
ベラルーシ,ミンスク,,jp-JP,jp-JP
タジキスタン,ドゥシャンベ,,jp-JP,jp-JP
イスラエル,エルサレム,,jp-JP,jp-JP
オーストリア,ウィーン,,jp-JP,jp-JP
パプアニューギニア,ポートモレスビー,,jp-JP,jp-JP
スイス,ベルン,,jp-JP,jp-JP
トーゴ,ロメ,,jp-JP,jp-JP
