FrontText,BackText,Comment,FrontTextLanguage,BackTextLanguage
ソロモン諸島,ホニアラ,,jp-JP,jp-JP
ルクセンブルク,ルクセンブルク,,jp-JP,jp-JP
モンテネグロ,ポドゴリツァ,,jp-JP,jp-JP
スリナム,パラマリポ,,jp-JP,jp-JP
モルディブ,マレ,,jp-JP,jp-JP
マルタ,バレッタ,,jp-JP,jp-JP
カーボベルデ,プライア,,jp-JP,jp-JP
ブルネイ,バンダルスリブガワン,,jp-JP,jp-JP
ベリーズ,ベルモパン,,jp-JP,jp-JP
バハマ,ナッソー,,jp-JP,jp-JP
アイスランド,レイキャビク,,jp-JP,jp-JP
バヌアツ,ポートビラ,,jp-JP,jp-JP
バルバドス,ブリッジタウン,,jp-JP,jp-JP
サントメ・プリンシペ,サントメ,,jp-JP,jp-JP
サモア,アピア,,jp-JP,jp-JP
セントルシア,カストリーズ,,jp-JP,jp-JP
キリバス,タラワ,,jp-JP,jp-JP
ミクロネシア,パリ,,jp-JP,jp-JP
グレナダ,セントジョージズ,,jp-JP,jp-JP
セントビンセント及びグレナディーン諸島,キングスタウン,,jp-JP,jp-JP
