FrontText,BackText,Comment,FrontTextLanguage,BackTextLanguage
チリ,サンティアゴ,,jp-JP,jp-JP
マラウイ,リロングウェ,,jp-JP,jp-JP
カザフスタン,アスタナ,,jp-JP,jp-JP
ザンビア,ルサカ,,jp-JP,jp-JP
エクアドル,キト,,jp-JP,jp-JP
オランダ,アムステルダム,,jp-JP,jp-JP
シリア,ダマスカス,,jp-JP,jp-JP
グアテマラ,グアテマラシティ,,jp-JP,jp-JP
カンボジア,プノンペン,,jp-JP,jp-JP
セネガル,ダカール,,jp-JP,jp-JP
チャド,ンジャメナ,,jp-JP,jp-JP
ソマリア,モガディシュ,,jp-JP,jp-JP
ジンバブエ,ハラレ,,jp-JP,jp-JP
ギニア,コナクリ,,jp-JP,jp-JP
ルワンダ,キガリ,,jp-JP,jp-JP
ベナン,ポルトノボ,,jp-JP,jp-JP
チュニジア,チュニス,,jp-JP,jp-JP
ブルンジ,ブジュンブラ,,jp-JP,jp-JP
ボリビア,ラパス,,jp-JP,jp-JP
ベルギー,ブリュッセル,,jp-JP,jp-JP
