FrontText,BackText,Comment,FrontTextLanguage,BackTextLanguage
ガンビア,バンジュール,,jp-JP,jp-JP
ボツワナ,ハボローネ,,jp-JP,jp-JP
ガボン,リーブルビル,,jp-JP,jp-JP
レソト,マセル,,jp-JP,jp-JP
スロベニア,リュブリャナ,,jp-JP,jp-JP
ギニアビサウ,ビサウ,,jp-JP,jp-JP
ラトビア,リガ,,jp-JP,jp-JP
北マケドニア,スコピエ,,jp-JP,jp-JP
バーレーン,マナーマ,,jp-JP,jp-JP
トリニダードトバゴ,ポートオブスペイン,,jp-JP,jp-JP
赤道ギニア,マラボ,,jp-JP,jp-JP
エストニア,タリン,,jp-JP,jp-JP
モーリシャス,ポートルイス,,jp-JP,jp-JP
キプロス,ニコシア,,jp-JP,jp-JP
エスティワニ,ムババーネ,,jp-JP,jp-JP
ジブチ,ジブチ,,jp-JP,jp-JP
フィジー,スバ,,jp-JP,jp-JP
コモロ,モロニ,,jp-JP,jp-JP
ガイアナ,ジョージタウン,,jp-JP,jp-JP
ブータン,ティンプー,,jp-JP,jp-JP
