FrontText,BackText,Comment,FrontTextLanguage,BackTextLanguage
サウジアラビア,リヤド,,jp-JP,jp-JP
ウズベキスタン,タシケント,,jp-JP,jp-JP
ペルー,リマ,,jp-JP,jp-JP
マレーシア,クアラルンプール,,jp-JP,jp-JP
アンゴラ,ルアンダ,,jp-JP,jp-JP
ガーナ,アクラ,,jp-JP,jp-JP
モザンビーク,マプト,,jp-JP,jp-JP
イエメン,サヌア,,jp-JP,jp-JP
ネパール,カトマンズ,,jp-JP,jp-JP
ベネズエラ,カラカス,,jp-JP,jp-JP
マダガスカル,アンタナナリボ,,jp-JP,jp-JP
カメルーン,ヤウンデ,,jp-JP,jp-JP
オーストラリア,キャンベラ,,jp-JP,jp-JP
コートジボワール,ヤムスクロ,,jp-JP,jp-JP
朝鮮民主主義人民共和国,ピョンヤン,,jp-JP,jp-JP
ニジェール,ニアメ,,jp-JP,jp-JP
スリランカ,スリジャヤワルダナプラコッテ,,jp-JP,jp-JP
ブルキナファソ,ワガドゥグー,,jp-JP,jp-JP
マリ,バマコ,,jp-JP,jp-JP
ルーマニア,ブカレスト,,jp-JP,jp-JP
