FrontText,BackText,Comment,FrontTextLanguage,BackTextLanguage
中華人民共和国,ペキン,,jp-JP,jp-JP
インド,デリー,,jp-JP,jp-JP
アメリカ合衆国,ワシントンD.C.,,jp-JP,jp-JP
インドネシア,ジャカルタ,,jp-JP,jp-JP
パキスタン,イスラマバード,,jp-JP,jp-JP
ブラジル,ブラジリア,,jp-JP,jp-JP
ナイジェリア,アブジャ,,jp-JP,jp-JP
バングラデシュ,ダッカ,,jp-JP,jp-JP
ロシア連邦,モスクワ,,jp-JP,jp-JP
日本国,東京,,jp-JP,jp-JP
メキシコ,メキシコシティ,,jp-JP,jp-JP
エチオピア,アディスアベバ,,jp-JP,jp-JP
フィリピン,マニラ,,jp-JP,jp-JP
エジプト,カイロ,,jp-JP,jp-JP
ベトナム,ハノイ,,jp-JP,jp-JP
コンゴ民主共和国,キンシャサ,,jp-JP,jp-JP
トルコ,アンカラ,,jp-JP,jp-JP
ドイツ,ベルリン,,jp-JP,jp-JP
イラン,テヘラン,,jp-JP,jp-JP
タイ,バンコク,,jp-JP,jp-JP
