FrontText,BackText,Comment,FrontTextLanguage,BackTextLanguage
アイルランド,ダブリン,,jp-JP,jp-JP
リベリア,モンロビア,,jp-JP,jp-JP
ニュージーランド,ウェリントン,,jp-JP,jp-JP
中央アフリカ,バンギ,,jp-JP,jp-JP
モーリタニア,ヌアクショット,,jp-JP,jp-JP
パナマ,パナマシティ,,jp-JP,jp-JP
クウェート,クウェート,,jp-JP,jp-JP
クロアチア,ザグレブ,,jp-JP,jp-JP
ジョージア,トビリシ,,jp-JP,jp-JP
東ティモール,ディリ,,jp-JP,jp-JP
ウルグアイ,モンテビデオ,,jp-JP,jp-JP
ボスニアヘルツェゴビナ,サラエボ,,jp-JP,jp-JP
モンゴル,ウランバートル,,jp-JP,jp-JP
アルメニア,エレバン,,jp-JP,jp-JP
ジャマイカ,キングストン,,jp-JP,jp-JP
アルバニア,ティラナ,,jp-JP,jp-JP
カタール,ドーハ,,jp-JP,jp-JP
リトアニア,ビリニュス,,jp-JP,jp-JP
モルドバ,キシナウ,,jp-JP,jp-JP
ナミビア,ウィントフック,,jp-JP,jp-JP
